points, %, error
11, 0.18181818181818182, -0.3381818181818182
12, 0.6666666666666666, 0.1466666666666666
13, 0.6923076923076923, 0.17230769230769227
14, 0.2857142857142857, -0.23428571428571432
15, 0.4666666666666667, -0.053333333333333344
16, 0.375, -0.14500000000000002
17, 0.7058823529411765, 0.1858823529411765
18, 0.3888888888888889, -0.13111111111111112
19, 0.42105263157894735, -0.09894736842105267
20, 0.45, -0.07
21, 0.42857142857142855, -0.09142857142857147
22, 0.6363636363636364, 0.11636363636363634
23, 0.391304347826087, -0.12869565217391304
24, 0.4583333333333333, -0.0616666666666667
25, 0.48, -0.040000000000000036
26, 0.4230769230769231, -0.09692307692307695
27, 0.6296296296296297, 0.10962962962962963
28, 0.5714285714285714, 0.05142857142857138
29, 0.5517241379310345, 0.03172413793103446
30, 0.4666666666666667, -0.053333333333333344
31, 0.4838709677419355, -0.03612903225806452
32, 0.46875, -0.05125000000000002
33, 0.5757575757575758, 0.055757575757575784
34, 0.47058823529411764, -0.04941176470588238
35, 0.6, 0.07999999999999996
36, 0.5833333333333334, 0.06333333333333335
37, 0.6486486486486487, 0.12864864864864867
38, 0.42105263157894735, -0.09894736842105267
39, 0.5641025641025641, 0.04410256410256408
40, 0.475, -0.04500000000000004
41, 0.6097560975609756, 0.08975609756097558
42, 0.5476190476190477, 0.027619047619047654
43, 0.5348837209302325, 0.014883720930232491
44, 0.5227272727272727, 0.0027272727272726893
45, 0.5333333333333333, 0.013333333333333308
46, 0.6739130434782609, 0.15391304347826085
47, 0.3191489361702128, -0.20085106382978724
48, 0.5, -0.020000000000000018
49, 0.4489795918367347, -0.07102040816326533
50, 0.42, -0.10000000000000003
51, 0.49019607843137253, -0.02980392156862749
52, 0.5, -0.020000000000000018
53, 0.37735849056603776, -0.14264150943396225
54, 0.5555555555555556, 0.03555555555555556
55, 0.5454545454545454, 0.025454545454545396
56, 0.42857142857142855, -0.09142857142857147
57, 0.543859649122807, 0.023859649122807025
58, 0.5517241379310345, 0.03172413793103446
59, 0.423728813559322, -0.096271186440678
60, 0.5666666666666667, 0.046666666666666634
61, 0.5081967213114754, -0.011803278688524599
62, 0.4838709677419355, -0.03612903225806452
63, 0.42857142857142855, -0.09142857142857147
64, 0.4375, -0.08250000000000002
65, 0.49230769230769234, -0.027692307692307683
66, 0.4393939393939394, -0.08060606060606063
67, 0.47761194029850745, -0.042388059701492564
68, 0.5735294117647058, 0.053529411764705825
69, 0.5217391304347826, 0.0017391304347825765
70, 0.6, 0.07999999999999996
71, 0.5211267605633803, 0.0011267605633802358
72, 0.5277777777777778, 0.007777777777777772
73, 0.5068493150684932, -0.01315068493150684
74, 0.5675675675675675, 0.047567567567567526
75, 0.56, 0.040000000000000036
76, 0.5657894736842105, 0.04578947368421049
77, 0.5454545454545454, 0.025454545454545396
78, 0.5512820512820513, 0.031282051282051304
79, 0.45569620253164556, -0.06430379746835446
80, 0.5375, 0.01749999999999996
81, 0.4691358024691358, -0.05086419753086424
82, 0.45121951219512196, -0.06878048780487805
83, 0.5783132530120482, 0.05831325301204815
84, 0.5357142857142857, 0.01571428571428568
85, 0.5176470588235295, -0.0023529411764705577
86, 0.6162790697674418, 0.09627906976744183
87, 0.5057471264367817, -0.01425287356321836
88, 0.4659090909090909, -0.054090909090909134
89, 0.48314606741573035, -0.036853932584269666
90, 0.5111111111111111, -0.008888888888888946
91, 0.5604395604395604, 0.04043956043956043
92, 0.5, -0.020000000000000018
93, 0.6129032258064516, 0.0929032258064516
94, 0.46808510638297873, -0.051914893617021285
95, 0.4421052631578947, -0.0778947368421053
96, 0.4375, -0.08250000000000002
97, 0.5463917525773195, 0.026391752577319516
98, 0.46938775510204084, -0.05061224489795918
99, 0.5151515151515151, -0.00484848484848488
100, 0.38, -0.14
101, 0.4752475247524752, -0.04475247524752479
102, 0.5098039215686274, -0.010196078431372602
103, 0.47572815533980584, -0.04427184466019418
104, 0.4326923076923077, -0.08730769230769231
105, 0.5619047619047619, 0.04190476190476189
106, 0.5, -0.020000000000000018
107, 0.5233644859813084, 0.0033644859813083405
108, 0.4722222222222222, -0.04777777777777781
109, 0.44954128440366975, -0.07045871559633027
110, 0.5272727272727272, 0.0072727272727272085
111, 0.5675675675675675, 0.047567567567567526
112, 0.48214285714285715, -0.03785714285714287
113, 0.5132743362831859, -0.006725663716814156
114, 0.5, -0.020000000000000018
115, 0.5652173913043478, 0.045217391304347765
116, 0.5603448275862069, 0.04034482758620683
117, 0.48717948717948717, -0.03282051282051285
118, 0.4491525423728814, -0.07084745762711864
119, 0.5126050420168067, -0.00739495798319334
120, 0.49166666666666664, -0.028333333333333377
121, 0.5206611570247934, 0.0006611570247934129
122, 0.5163934426229508, -0.00360655737704918
123, 0.5691056910569106, 0.04910569105691054
124, 0.5564516129032258, 0.03645161290322574
125, 0.536, 0.016000000000000014
126, 0.5793650793650794, 0.0593650793650794
127, 0.5275590551181102, 0.0075590551181101695
128, 0.5, -0.020000000000000018
129, 0.5348837209302325, 0.014883720930232491
130, 0.5692307692307692, 0.04923076923076919
131, 0.46564885496183206, -0.05435114503816796
132, 0.48484848484848486, -0.035151515151515156
133, 0.5263157894736842, 0.0063157894736841635
134, 0.4701492537313433, -0.04985074626865671
135, 0.6, 0.07999999999999996
136, 0.6102941176470589, 0.09029411764705886
137, 0.45985401459854014, -0.06014598540145988
138, 0.5217391304347826, 0.0017391304347825765
139, 0.49640287769784175, -0.02359712230215827
140, 0.5214285714285715, 0.0014285714285714457
141, 0.46099290780141844, -0.05900709219858158
142, 0.47183098591549294, -0.04816901408450708
143, 0.6013986013986014, 0.08139860139860133
144, 0.5763888888888888, 0.05638888888888882
145, 0.4827586206896552, -0.037241379310344824
146, 0.5616438356164384, 0.04164383561643836
147, 0.5714285714285714, 0.05142857142857138
148, 0.5135135135135135, -0.006486486486486531
149, 0.5503355704697986, 0.030335570469798623
150, 0.4866666666666667, -0.033333333333333326
151, 0.4966887417218543, -0.02331125827814573
152, 0.5657894736842105, 0.04578947368421049
153, 0.5163398692810458, -0.003660130718954213
154, 0.551948051948052, 0.03194805194805195
155, 0.45161290322580644, -0.06838709677419358
156, 0.5512820512820513, 0.031282051282051304
157, 0.5031847133757962, -0.01681528662420384
158, 0.5063291139240507, -0.013670886075949351
159, 0.5283018867924528, 0.008301886792452806
160, 0.4875, -0.03250000000000003
161, 0.5279503105590062, 0.00795031055900619
162, 0.5493827160493827, 0.029382716049382696
163, 0.49079754601226994, -0.02920245398773008
164, 0.524390243902439, 0.004390243902439028
165, 0.4909090909090909, -0.02909090909090911
166, 0.6325301204819277, 0.11253012048192768
167, 0.5089820359281437, -0.01101796407185629
168, 0.5714285714285714, 0.05142857142857138
169, 0.5207100591715976, 0.0007100591715976101
170, 0.5411764705882353, 0.02117647058823524
171, 0.47953216374269003, -0.040467836257309986
172, 0.5058139534883721, -0.014186046511627914
173, 0.5260115606936416, 0.0060115606936416155
174, 0.5, -0.020000000000000018
175, 0.5028571428571429, -0.017142857142857126
176, 0.48863636363636365, -0.03136363636363637
177, 0.5254237288135594, 0.0054237288135593476
178, 0.4550561797752809, -0.06494382022471912
179, 0.46368715083798884, -0.05631284916201118
180, 0.5111111111111111, -0.008888888888888946
181, 0.4972375690607735, -0.02276243093922653
182, 0.510989010989011, -0.009010989010989068
183, 0.5355191256830601, 0.015519125683060131
184, 0.5054347826086957, -0.014565217391304341
185, 0.5675675675675675, 0.047567567567567526
186, 0.5053763440860215, -0.014623655913978517
187, 0.4919786096256685, -0.028021390374331545
188, 0.46808510638297873, -0.051914893617021285
189, 0.47619047619047616, -0.043809523809523854
190, 0.5052631578947369, -0.01473684210526316
191, 0.5287958115183246, 0.008795811518324537
192, 0.5572916666666666, 0.03729166666666661
193, 0.49740932642487046, -0.02259067357512956
194, 0.5103092783505154, -0.00969072164948459
195, 0.5230769230769231, 0.003076923076923088
196, 0.5510204081632653, 0.031020408163265234
197, 0.5532994923857868, 0.03329949238578678
198, 0.48484848484848486, -0.035151515151515156
199, 0.4723618090452261, -0.047638190954773896
200, 0.485, -0.03500000000000003
201, 0.5472636815920398, 0.027263681592039735
202, 0.599009900990099, 0.07900990099009897
203, 0.4827586206896552, -0.037241379310344824
204, 0.5, -0.020000000000000018
205, 0.5365853658536586, 0.01658536585365855
206, 0.5388349514563107, 0.018834951456310645
207, 0.4830917874396135, -0.03690821256038651
208, 0.5528846153846154, 0.0328846153846154
209, 0.5598086124401914, 0.039808612440191404
210, 0.5142857142857142, -0.005714285714285783
211, 0.5213270142180095, 0.0013270142180095146
212, 0.5141509433962265, -0.00584905660377355
213, 0.6056338028169014, 0.08563380281690136
214, 0.5747663551401869, 0.054766355140186906
215, 0.5162790697674419, -0.0037209302325581506
216, 0.5185185185185185, -0.001481481481481528
217, 0.511520737327189, -0.008479262672811072
218, 0.5137614678899083, -0.006238532110091732
219, 0.4931506849315068, -0.026849315068493196
220, 0.44545454545454544, -0.07454545454545458
221, 0.4751131221719457, -0.04488687782805434
222, 0.545045045045045, 0.02504504504504501
223, 0.5246636771300448, 0.0046636771300447855
224, 0.5446428571428571, 0.024642857142857078
225, 0.49777777777777776, -0.022222222222222254
226, 0.48672566371681414, -0.03327433628318588
227, 0.5418502202643172, 0.021850220264317155
228, 0.5350877192982456, 0.015087719298245594
229, 0.5764192139737991, 0.05641921397379912
230, 0.4652173913043478, -0.05478260869565221
231, 0.5541125541125541, 0.034112554112554094
232, 0.5689655172413793, 0.04896551724137932
233, 0.5536480686695279, 0.03364806866952785
234, 0.5470085470085471, 0.027008547008547046
235, 0.49361702127659574, -0.026382978723404282
236, 0.5338983050847458, 0.013898305084745766
237, 0.5189873417721519, -0.0010126582278481289
238, 0.5042016806722689, -0.015798319327731125
239, 0.5523012552301255, 0.0323012552301255
240, 0.5166666666666667, -0.0033333333333332993
241, 0.4605809128630705, -0.059419087136929505
242, 0.5826446280991735, 0.06264462809917348
243, 0.5102880658436214, -0.00971193415637861
244, 0.5614754098360656, 0.04147540983606557
245, 0.5306122448979592, 0.0106122448979592
246, 0.5203252032520326, 0.0003252032520325576
247, 0.46558704453441296, -0.054412955465587054
248, 0.532258064516129, 0.012258064516128986
249, 0.4819277108433735, -0.038072289156626526
250, 0.532, 0.01200000000000001
251, 0.4900398406374502, -0.02996015936254981
252, 0.5515873015873016, 0.03158730158730161
253, 0.48221343873517786, -0.03778656126482216
254, 0.5275590551181102, 0.0075590551181101695
255, 0.5686274509803921, 0.04862745098039212
256, 0.57421875, 0.05421874999999998
257, 0.5136186770428015, -0.00638132295719851
258, 0.5116279069767442, -0.008372093023255811
259, 0.5405405405405406, 0.020540540540540553
260, 0.49230769230769234, -0.027692307692307683
261, 0.5210727969348659, 0.0010727969348658384
262, 0.46946564885496184, -0.05053435114503818
263, 0.5513307984790875, 0.031330798479087485
264, 0.48863636363636365, -0.03136363636363637
265, 0.5547169811320755, 0.03471698113207544
266, 0.5451127819548872, 0.025112781954887198
267, 0.5205992509363296, 0.0005992509363296206
268, 0.5111940298507462, -0.008805970149253772
269, 0.5018587360594795, -0.018141263940520513
270, 0.5481481481481482, 0.028148148148148144
271, 0.4907749077490775, -0.029225092250922513
272, 0.5257352941176471, 0.005735294117647061
273, 0.5604395604395604, 0.04043956043956043
274, 0.5072992700729927, -0.012700729927007326
275, 0.509090909090909, -0.01090909090909098
276, 0.48188405797101447, -0.03811594202898555
277, 0.5306859205776173, 0.010685920577617303
278, 0.5719424460431655, 0.05194244604316545
279, 0.5089605734767025, -0.01103942652329748
280, 0.4785714285714286, -0.041428571428571426
281, 0.5516014234875445, 0.03160142348754447
282, 0.48936170212765956, -0.03063829787234046
283, 0.5653710247349824, 0.045371024734982335
284, 0.5422535211267606, 0.0222535211267606
285, 0.5508771929824562, 0.03087719298245617
286, 0.5174825174825175, -0.0025174825174825166
287, 0.5261324041811847, 0.006132404181184659
288, 0.5381944444444444, 0.018194444444444402
289, 0.5155709342560554, -0.004429065743944638
290, 0.5172413793103449, -0.0027586206896551557
291, 0.5051546391752577, -0.014845360824742304
292, 0.5068493150684932, -0.01315068493150684
293, 0.47440273037542663, -0.04559726962457339
294, 0.4931972789115646, -0.0268027210884354
295, 0.4847457627118644, -0.03525423728813559
296, 0.48986486486486486, -0.03013513513513516
297, 0.5252525252525253, 0.005252525252525286
298, 0.5, -0.020000000000000018
299, 0.5384615384615384, 0.018461538461538418
300, 0.5366666666666666, 0.016666666666666607
301, 0.4983388704318937, -0.02166112956810634
302, 0.5165562913907285, -0.0034437086092715674
303, 0.5214521452145214, 0.0014521452145214164
304, 0.5328947368421053, 0.012894736842105292
305, 0.4852459016393443, -0.03475409836065574
306, 0.5065359477124183, -0.01346405228758174
307, 0.50814332247557, -0.011856677524429982
308, 0.4935064935064935, -0.026493506493506513
309, 0.5631067961165048, 0.04310679611650481
310, 0.5935483870967742, 0.07354838709677414
311, 0.5209003215434084, 0.0009003215434083556
312, 0.5480769230769231, 0.02807692307692311
313, 0.5207667731629393, 0.0007667731629392716
314, 0.5286624203821656, 0.008662420382165581
315, 0.580952380952381, 0.06095238095238098
316, 0.5443037974683544, 0.024303797468354427
317, 0.5488958990536278, 0.02889589905362777
318, 0.5534591194968553, 0.033459119496855316
319, 0.5203761755485894, 0.00037617554858937474
320, 0.546875, 0.026874999999999982
321, 0.5202492211838006, 0.000249221183800552
322, 0.531055900621118, 0.011055900621117942
323, 0.5727554179566563, 0.05275541795665628
324, 0.4876543209876543, -0.032345679012345696
325, 0.5138461538461538, -0.006153846153846176
326, 0.5276073619631901, 0.007607361963190118
327, 0.5076452599388379, -0.012354740061162106
328, 0.4847560975609756, -0.03524390243902442
329, 0.48936170212765956, -0.03063829787234046
330, 0.5424242424242425, 0.022424242424242458
331, 0.5287009063444109, 0.008700906344410897
332, 0.5331325301204819, 0.013132530120481878
333, 0.5375375375375375, 0.017537537537537506
334, 0.5209580838323353, 0.0009580838323353102
335, 0.5343283582089552, 0.014328358208955172
336, 0.5208333333333334, 0.0008333333333333526
337, 0.5459940652818991, 0.02599406528189907
338, 0.4822485207100592, -0.037751479289940826
339, 0.49262536873156343, -0.02737463126843659
340, 0.5147058823529411, -0.0052941176470588935
341, 0.5131964809384164, -0.006803519061583607
342, 0.5146198830409356, -0.005380116959064374
343, 0.5247813411078717, 0.0047813411078716506
344, 0.5145348837209303, -0.005465116279069759
345, 0.5333333333333333, 0.013333333333333308
346, 0.4479768786127168, -0.07202312138728323
347, 0.5273775216138329, 0.007377521613832871
348, 0.5316091954022989, 0.011609195402298877
349, 0.5272206303724928, 0.0072206303724927645
350, 0.49714285714285716, -0.022857142857142854
351, 0.5498575498575499, 0.029857549857549848
352, 0.5454545454545454, 0.025454545454545396
353, 0.5552407932011332, 0.03524079320113316
354, 0.5508474576271186, 0.030847457627118602
355, 0.5464788732394367, 0.02647887323943665
356, 0.547752808988764, 0.027752808988763977
357, 0.5042016806722689, -0.015798319327731125
358, 0.5335195530726257, 0.013519553072625645
359, 0.5097493036211699, -0.010250696378830138
360, 0.5472222222222223, 0.02722222222222226
361, 0.5124653739612188, -0.007534626038781189
362, 0.5331491712707183, 0.01314917127071824
363, 0.5619834710743802, 0.04198347107438016
364, 0.49725274725274726, -0.022747252747252755
365, 0.5095890410958904, -0.01041095890410959
366, 0.5163934426229508, -0.00360655737704918
367, 0.5204359673024523, 0.0004359673024523225
368, 0.483695652173913, -0.03630434782608699
369, 0.5203252032520326, 0.0003252032520325576
370, 0.4945945945945946, -0.025405405405405423
371, 0.5283018867924528, 0.008301886792452806
372, 0.5026881720430108, -0.017311827956989267
373, 0.5442359249329759, 0.024235924932975883
374, 0.5080213903743316, -0.011978609625668435
375, 0.4613333333333333, -0.0586666666666667
376, 0.4734042553191489, -0.04659574468085109
377, 0.5013262599469496, -0.018673740053050447
378, 0.4656084656084656, -0.054391534391534435
379, 0.5224274406332454, 0.0024274406332454035
380, 0.5394736842105263, 0.01947368421052631
381, 0.5459317585301837, 0.0259317585301837
382, 0.4869109947643979, -0.0330890052356021
383, 0.5013054830287206, -0.01869451697127944
384, 0.46875, -0.05125000000000002
385, 0.5038961038961038, -0.016103896103896176
386, 0.5414507772020726, 0.021450777202072557
387, 0.5348837209302325, 0.014883720930232491
388, 0.5567010309278351, 0.036701030927835054
389, 0.5038560411311054, -0.016143958868894637
390, 0.5153846153846153, -0.004615384615384688
391, 0.5217391304347826, 0.0017391304347825765
392, 0.5025510204081632, -0.017448979591836777
393, 0.5267175572519084, 0.006717557251908368
394, 0.5329949238578681, 0.012994923857868046
395, 0.5367088607594936, 0.016708860759493627
396, 0.5757575757575758, 0.055757575757575784
397, 0.5289672544080605, 0.008967254408060454
398, 0.535175879396985, 0.015175879396984948
399, 0.47368421052631576, -0.046315789473684255
400, 0.5575, 0.03749999999999998
401, 0.5211970074812967, 0.0011970074812966969
402, 0.5746268656716418, 0.05462686567164177
403, 0.49379652605459057, -0.02620347394540945
404, 0.5420792079207921, 0.0220792079207921
405, 0.4962962962962963, -0.023703703703703727
406, 0.5073891625615764, -0.012610837438423617
407, 0.5233415233415234, 0.003341523341523378
408, 0.5269607843137255, 0.006960784313725488
409, 0.5281173594132029, 0.008117359413202907
410, 0.4975609756097561, -0.022439024390243922
411, 0.5328467153284672, 0.012846715328467151
412, 0.5509708737864077, 0.030970873786407727
413, 0.48668280871670705, -0.03331719128329297
414, 0.5458937198067633, 0.02589371980676325
415, 0.5277108433734939, 0.007710843373493925
416, 0.5048076923076923, -0.015192307692307727
417, 0.5563549160671463, 0.03635491606714625
418, 0.5143540669856459, -0.005645933014354121
419, 0.4988066825775656, -0.02119331742243441
420, 0.5261904761904762, 0.006190476190476191
421, 0.5249406175771971, 0.004940617577197104
422, 0.5213270142180095, 0.0013270142180095146
423, 0.5130023640661938, -0.006997635933806201
424, 0.5047169811320755, -0.015283018867924492
425, 0.56, 0.040000000000000036
426, 0.5140845070422535, -0.005915492957746515
427, 0.5386416861826698, 0.018641686182669814
428, 0.5630841121495327, 0.04308411214953267
429, 0.5174825174825175, -0.0025174825174825166
430, 0.48604651162790696, -0.033953488372093055
431, 0.5011600928074246, -0.018839907192575445
432, 0.5347222222222222, 0.014722222222222192
433, 0.5057736720554272, -0.014226327944572792
434, 0.5276497695852534, 0.00764976958525343
435, 0.5494252873563218, 0.029425287356321772
436, 0.5573394495412844, 0.03733944954128443
437, 0.528604118993135, 0.008604118993134957
438, 0.5091324200913242, -0.010867579908675817
439, 0.49658314350797267, -0.02341685649202735
440, 0.5522727272727272, 0.03227272727272723
441, 0.5351473922902494, 0.015147392290249417
442, 0.5248868778280543, 0.0048868778280543035
443, 0.5079006772009029, -0.01209932279909709
444, 0.5112612612612613, -0.00873873873873876
445, 0.5685393258426966, 0.0485393258426966
446, 0.5515695067264574, 0.03156950672645742
447, 0.5167785234899329, -0.0032214765100671006
448, 0.5200892857142857, 8.928571428568066e-05
449, 0.5478841870824054, 0.027884187082405365
450, 0.5066666666666667, -0.013333333333333308
451, 0.49445676274944567, -0.02554323725055435
452, 0.48672566371681414, -0.03327433628318588
453, 0.5496688741721855, 0.029668874172185444
454, 0.5374449339207048, 0.017444933920704786
455, 0.545054945054945, 0.025054945054944988
456, 0.5241228070175439, 0.004122807017543861
457, 0.5032822757111597, -0.01671772428884033
458, 0.5283842794759825, 0.008384279475982526
459, 0.5206971677559913, 0.0006971677559912681
460, 0.5130434782608696, -0.006956521739130417
461, 0.5336225596529284, 0.013622559652928357
462, 0.5021645021645021, -0.01783549783549787
463, 0.5183585313174947, -0.0016414686825053648
464, 0.5323275862068966, 0.012327586206896557
465, 0.5053763440860215, -0.014623655913978517
466, 0.4871244635193133, -0.032875536480686696
467, 0.5117773019271948, -0.008222698072805179
468, 0.47649572649572647, -0.04350427350427355
469, 0.5074626865671642, -0.012537313432835817
470, 0.46595744680851064, -0.05404255319148937
471, 0.4989384288747346, -0.02106157112526541
472, 0.4851694915254237, -0.034830508474576305
473, 0.5116279069767442, -0.008372093023255811
474, 0.5021097046413502, -0.017890295358649833
475, 0.5157894736842106, -0.004210526315789442
476, 0.5105042016806722, -0.009495798319327786
