points,value,error
1183, 0.53846154, 0.014961540
1184, 0.53800676, 0.014506760
1185, 0.53080169, 0.0073016900
1186, 0.50337268, -0.020127320
1187, 0.52485257, 0.0013525700
1188, 0.52020202, -0.0032979800
1189, 0.53322119, 0.0097211900
1190, 0.52268908, -0.00081092000
1191, 0.51637280, -0.0071272000
1192, 0.52097315, -0.0025268500
1193, 0.53310981, 0.0096098100
1194, 0.53266332, 0.0091633200
1195, 0.53640167, 0.012901670
1196, 0.50585284, -0.017647160
1197, 0.52882206, 0.0053220600
1198, 0.51752922, -0.0059707800
1199, 0.51876564, -0.0047343600
1200, 0.5175, -0.0060000000
1201, 0.53538718, 0.011887180
1202, 0.57570715, 0.052207150
1203, 0.52867830, 0.0051783000
1204, 0.51827243, -0.0052275700
1205, 0.52116183, -0.0023381700
1206, 0.52155887, -0.0019411300
1207, 0.52361226, 0.00011226000
1208, 0.53394040, 0.010440400
1209, 0.53680728, 0.013307280
1210, 0.50082645, -0.022673550
1211, 0.53261767, 0.0091176700
1212, 0.51402640, -0.0094736000
1213, 0.53833471, 0.014834710
1214, 0.48764415, -0.035855850
1215, 0.54485597, 0.021355970
1216, 0.53371711, 0.010217110
1217, 0.52588332, 0.0023833200
1218, 0.52627258, 0.0027725800
1219, 0.54306809, 0.019568090
1220, 0.52868852, 0.0051885200
1221, 0.52416052, 0.00066052000
1222, 0.54337152, 0.019871520
1223, 0.52493868, 0.0014386800
1224, 0.50490196, -0.018598040
1225, 0.52081633, -0.0026836700
1226, 0.54730832, 0.023808320
1227, 0.49388753, -0.029612470
1228, 0.52687296, 0.0033729600
1229, 0.52156225, -0.0019377500
1230, 0.52195122, -0.0015487800
1231, 0.52152721, -0.0019727900
1232, 0.53246753, 0.0089675300
1233, 0.52960260, 0.0061026000
1234, 0.50891410, -0.014585900
1235, 0.52631579, 0.0028157900
1236, 0.52346278, -0.000037220000
1237, 0.53759095, 0.014090950
1238, 0.53311793, 0.0096179300
1239, 0.53591606, 0.012416060
1240, 0.49516129, -0.028338710
1241, 0.51974214, -0.0037578600
1242, 0.51851852, -0.0049814800
1243, 0.53821400, 0.014714000
1244, 0.53456592, 0.011065920
1245, 0.52208835, -0.0014116500
1246, 0.53210273, 0.0086027300
1247, 0.49558941, -0.027910590
1248, 0.51121795, -0.012282050
1249, 0.54683747, 0.023337470
1250, 0.5336, 0.010100000
1251, 0.51239009, -0.011109910
1252, 0.54073482, 0.017234820
1253, 0.52992817, 0.0064281700
1254, 0.53668262, 0.013182620
1255, 0.54023904, 0.016739040
1256, 0.52388535, 0.00038535000
1257, 0.53142403, 0.0079240300
1258, 0.53020668, 0.0067066800
1259, 0.53931692, 0.015816920
1260, 0.53809524, 0.014595240
1261, 0.51070579, -0.012794210
1262, 0.51188590, -0.011614100
1263, 0.52969121, 0.0061912100
1264, 0.52927215, 0.0057721500
1265, 0.50039526, -0.023104740
1266, 0.52843602, 0.0049360200
1267, 0.50276243, -0.020737570
1268, 0.50236593, -0.021134070
1269, 0.54688731, 0.023387310
1270, 0.51968504, -0.0038149600
1271, 0.51376869, -0.0097313100
1272, 0.52122642, -0.0022735800
1273, 0.53574234, 0.012242340
1274, 0.51805338, -0.0054466200
1275, 0.51843137, -0.0050686300
1276, 0.53134796, 0.0078479600
1277, 0.51135474, -0.012145260
1278, 0.52190923, -0.0015907700
1279, 0.51446443, -0.0090355700
1280, 0.521875, -0.0016250000
1281, 0.51209992, -0.011400080
1282, 0.51716069, -0.0063393100
1283, 0.50740452, -0.016095480
1284, 0.51090343, -0.012596570
1285, 0.53618677, 0.012686770
1286, 0.53888025, 0.015380250
1287, 0.52758353, 0.0040835300
1288, 0.52795031, 0.0044503100
1289, 0.52055857, -0.0029414300
1290, 0.50155039, -0.021949610
1291, 0.53601859, 0.012518590
1292, 0.54721362, 0.023713620
1293, 0.50270688, -0.020793120
1294, 0.52472952, 0.0012295200
1295, 0.54054054, 0.017040540
1296, 0.50925926, -0.014240740
1297, 0.52351581, 0.000015810000
1298, 0.52927581, 0.0057758100
1299, 0.52655889, 0.0030588900
1300, 0.54307692, 0.019576920
1301, 0.52113759, -0.0023624100
1302, 0.52457757, 0.0010775700
1303, 0.55103607, 0.027536070
1304, 0.52837423, 0.0048742300
1305, 0.53639847, 0.012898470
1306, 0.52909648, 0.0055964800
1307, 0.51721500, -0.0062850000
1308, 0.50611621, -0.017383790
1309, 0.51489687, -0.0086031300
1310, 0.53282443, 0.0093244300
1311, 0.53318078, 0.0096807800
1312, 0.51371951, -0.0097804900
1313, 0.53389185, 0.010391850
1314, 0.55251142, 0.029011420
