points,value,error
0, 0, -0.5235
1, 0, -0.5235
2, 0, -0.5235
3, 0.3333, -0.1902
4, 0.5, -0.02350
5, 0.2, -0.3235
6, 0.3333, -0.1902
7, 0.1429, -0.3806
8, 0.25, -0.2735
9, 0.4444, -0.07910
10, 0.2, -0.3235
11, 0.3636, -0.1599
12, 0.5, -0.02350
13, 0.3846, -0.1389
14, 0.4286, -0.09490
15, 0.4667, -0.05680
16, 0.5, -0.02350
17, 0.5294, 0.005900
18, 0.4444, -0.07910
19, 0.6316, 0.1081
20, 0.4, -0.1235
21, 0.4762, -0.04730
22, 0.5455, 0.02200
23, 0.5217, -0.001800
24, 0.6667, 0.1432
25, 0.56, 0.03650
26, 0.5385, 0.01500
27, 0.5926, 0.06910
28, 0.3929, -0.1306
29, 0.5517, 0.02820
30, 0.3333, -0.1902
31, 0.3548, -0.1687
32, 0.5312, 0.007700
33, 0.5455, 0.02200
34, 0.5882, 0.06470
35, 0.6571, 0.1336
36, 0.5556, 0.03210
37, 0.5135, -0.01000
38, 0.4737, -0.04980
39, 0.6154, 0.09190
40, 0.5, -0.02350
41, 0.5122, -0.01130
42, 0.4762, -0.04730
43, 0.6047, 0.08120
44, 0.4773, -0.04620
45, 0.5778, 0.05430
46, 0.5, -0.02350
47, 0.4468, -0.07670
48, 0.5625, 0.03900
49, 0.5306, 0.007100
50, 0.46, -0.06350
51, 0.4706, -0.05290
52, 0.5192, -0.004300
53, 0.5094, -0.01410
54, 0.5370, 0.01350
55, 0.4909, -0.03260
56, 0.5714, 0.04790
57, 0.4386, -0.08490
58, 0.4828, -0.04070
59, 0.4746, -0.04890
60, 0.55, 0.02650
61, 0.5410, 0.01750
62, 0.6452, 0.1217
63, 0.3968, -0.1267
64, 0.5312, 0.007700
65, 0.3385, -0.1850
66, 0.5303, 0.006800
67, 0.4328, -0.09070
68, 0.5, -0.02350
69, 0.5362, 0.01270
70, 0.6286, 0.1051
71, 0.4507, -0.07280
72, 0.5417, 0.01820
73, 0.3973, -0.1262
74, 0.4595, -0.06400
75, 0.4933, -0.03020
76, 0.5263, 0.002800
77, 0.4416, -0.08190
78, 0.5897, 0.06620
79, 0.4937, -0.02980
80, 0.4875, -0.03600
81, 0.5432, 0.01970
82, 0.5732, 0.04970
83, 0.4699, -0.05360
84, 0.5595, 0.03600
85, 0.4824, -0.04110
86, 0.5465, 0.02300
87, 0.5172, -0.006300
88, 0.4659, -0.05760
89, 0.4944, -0.02910
90, 0.4889, -0.03460
91, 0.4835, -0.04000
92, 0.5109, -0.01260
93, 0.5591, 0.03560
94, 0.5426, 0.01910
95, 0.5474, 0.02390
96, 0.5833, 0.05980
97, 0.5052, -0.01830
98, 0.5510, 0.02750
99, 0.5152, -0.008300
100, 0.49, -0.03350
101, 0.4356, -0.08790
102, 0.5294, 0.005900
103, 0.5340, 0.01050
104, 0.5192, -0.004300
105, 0.5429, 0.01940
106, 0.5660, 0.04250
107, 0.5234, -0.0001000
108, 0.4722, -0.05130
109, 0.4954, -0.02810
110, 0.5, -0.02350
111, 0.5135, -0.01000
112, 0.4643, -0.05920
113, 0.4779, -0.04560
114, 0.5351, 0.01160
115, 0.5739, 0.05040
116, 0.5086, -0.01490
117, 0.5043, -0.01920
118, 0.4831, -0.04040
119, 0.4454, -0.07810
120, 0.4917, -0.03180
121, 0.5372, 0.01370
122, 0.5246, 0.001100
123, 0.5366, 0.01310
124, 0.5726, 0.04910
125, 0.464, -0.05950
126, 0.5159, -0.007600
127, 0.5512, 0.02770
128, 0.4688, -0.05470
129, 0.4574, -0.06610
130, 0.5154, -0.008100
131, 0.5878, 0.06430
132, 0.5227, -0.0008000
133, 0.5489, 0.02540
134, 0.5746, 0.05110
135, 0.4889, -0.03460
136, 0.5588, 0.03530
137, 0.5912, 0.06770
138, 0.5507, 0.02720
139, 0.5468, 0.02330
140, 0.5143, -0.009200
141, 0.5035, -0.02000
142, 0.5352, 0.01170
143, 0.5175, -0.006000
144, 0.5069, -0.01660
145, 0.5241, 0.0006000
146, 0.6027, 0.07920
147, 0.5102, -0.01330
148, 0.5676, 0.04410
149, 0.5168, -0.006700
150, 0.5333, 0.009800
151, 0.5099, -0.01360
152, 0.5132, -0.01030
153, 0.5556, 0.03210
154, 0.4935, -0.03000
155, 0.5613, 0.03780
156, 0.5321, 0.008600
157, 0.5987, 0.07520
158, 0.4620, -0.06150
159, 0.5597, 0.03620
160, 0.4625, -0.06100
161, 0.5652, 0.04170
162, 0.5432, 0.01970
163, 0.5399, 0.01640
164, 0.5427, 0.01920
165, 0.4727, -0.05080
166, 0.5663, 0.04280
167, 0.5150, -0.008500
168, 0.5179, -0.005600
